Apple	Quả táo
Banana	Quả chuối
Car	Xe hơi
Book	Sách
Computer	Máy tính
Sun	Mặt trời
Moon	Mặt trăng
Water	Nước
Fire	Lửa
Tree	Cây
Flower	Hoa
House	Nhà
Table	Bàn
Chair	Ghế
Dog	Con chó
Cat	Con mèo
Fish	Cá
Bird	Con chim
Friend	Bạn bè
Family	Gia đình
Love	Tình yêu
Egg	Quả trứng
Chair	Ghế
Table	Bàn
Window	Cửa sổ
Phone	Điện thoại
Hat	Mũ
Shirt	Áo sơ mi
Shoes	Giày
Bag	Túi
Watch	Đồng hồ
Music	Âm nhạc
Movie	Phim
Rain	Mưa
Sunset	Hoàng hôn
Ocean	Đại dương
Mountain	Núi
Dance	Nhảy múa
Cook	Nấu ăn
Travel	Du lịch
Read	Đọc sách
Egg	Quả trứng
Chair	Ghế
Table	Bàn
Window	Cửa sổ
Phone	Điện thoại
Hat	Mũ
Shirt	Áo sơ mi
Shoes	Giày
Bag	Túi
Watch	Đồng hồ
Music	Âm nhạc
Movie	Phim
Rain	Mưa
Sunset	Hoàng hôn
Ocean	Đại dương
Mountain	Núi
Dance	Nhảy múa
Cook	Nấu ăn
Travel	Du lịch
Read	Đọc sách
Write	Viết
Game	Trò chơi
Swim	Bơi
Run	Chạy
Bike	Đạp xe
Train	Tàu hoả
Airplane	Máy bay
Ship	Tàu thủy
Map	Bản đồ
Money	Tiền
Time	Thời gian
Language	Ngôn ngữ
Love	Tình yêu
Friend	Bạn bè
Family	Gia đình
Food	Thực phẩm
Drink	Đồ uống
Fruit	Trái cây
Vegetable	Rau củ
Animal	Động vật
Bird	Chim
Fish	Cá
Insect	Côn trùng
Flower	Hoa
Tree	Cây
Color	Màu sắc
Number	Số
Letter	Chữ cái
Star	Ngôi sao
Moon	Mặt trăng
Sun	Mặt trời
Sky	Bầu trời
Earth	Trái đất
Guitar	Đàn guitar
Train	Tàu hỏa
Airport	Sân bay
Chocolate	Sô cô la
Coffee	Cà phê
Dolphin	Cá heo
Elephant	Voi
Giraffe	Hươu cao cổ
Ice cream	Kem
Jacket	Áo khoác
Kangaroo	Kangaroo
Lion	Sư tử
Monkey	Khỉ
Nest	Tổ
Orange	Cam
Penguin	Chim cánh cụt
Queen	Nữ hoàng
Rabbit	Con thỏ
Strawberry	Dâu tây
Tiger	Hổ
Umbrella	Ô
Violin	Đàn viôlông
Watermelon	Dưa hấu
Xylophone	Xylophone
Yak	Yak
Zebra	Ngựa vằn
Elephant	Con voi
Giraffe	Hươu cao cổ
Koala	Gấu túi Úc
Octopus	Bạch tuộc
Panda	Gấu trúc
Peacock	Công
Polar bear	Gấu Bắc Cực
Raccoon	Gấu Mỹ
Seahorse	Ngựa biển
Squirrel	Sóc
Turtle	Rùa
Vulture	Kền kền
Walrus	Hải cẩu ngà
X-ray	Tia X
Yak	Yak
Zebra	Ngựa vằn
Cactus	Cây xương rồng
Dandelion	Cỏ bồ công anh
Eucalyptus	Cây bạch dương
Fern	Rau dại
Geranium	Cây hoa phượng
Hibiscus	Hoa dâm bụt
Iris	Cẩm tú cầu
Jasmine	Cây nhài
Kale	Cải bắp
Lavender	Cây oải hương
Accomplish	Hoàn thành
Benevolent	Nhân từ
Cacophony	Tiếng ồn ào
Diligent	Chăm chỉ
Ephemeral	Ngắn ngủi
Furtive	Rón rén
Gregarious	Đồng loạt
Hedonist	Người theo đuổi niềm vui
Ineffable	Không thể diễn đạt bằng lời
Jubilant	Hân hoan
Kaleidoscope	Kính vạn hoa
Lethargic	Mệt mỏi, uể oải
Mellifluous	Âm thanh ngọt ngào
Nefarious	Ác độc
Obtuse	Cùn, đần độn
Pernicious	Độc hại, gây hại
Quixotic	Hão huyền
Rambunctious	Hỗn loạn, náo nhiệt
Sycophant	Người nịnh hót
Trepidation	Sự run sợ
Ubiquitous	Mọi nơi
Vacillate	Lưỡng lự
Whimsical	Kỳ quái
Xenophobia	Sự ghét người nước ngoài
Yielding	Nhượng bộ
Zephyr	Gió nhẹ
Acrimonious	Chua cay
Bumptious	Tự phụ, kiêu căng
Cacophonous	Tiếng ồn ào
Dilapidated	Xập xệ
Egregious	Nghiêm trọng
Facetious	Tinh nghịch, hài hước
Garrulous	Nói nhiều
Hapless	Khốn khổ
Inane	Vô nghĩa
Juxtapose	Đặt cạnh nhau
Kowtow	Cúi đầu, quỳ gối
Lament	Than khóc
Meticulous	Cẩn thận
Nebulous	Mơ hồ, không rõ ràng
Obfuscate	Làm mờ đi
Pernicious	Độc hại
Quixotic	Hão huyền
Ravenous	Tham lam
Sycophant	Người nịnh hót
Trepidation	Sự run sợ
