A	Một
Ability	Khả năng
About	Về
Above	Phía trên
Accept	Chấp nhận
According	Theo
Account	Tài khoản
Across	Qua
Act	Hành động
Action	Hành động
Activity	Hoạt động
Actually	Thực ra
Add	Thêm vào
Address	Địa chỉ
Administration	Quản lý
Admit	Thừa nhận
Adult	Người lớn
Advertise	Quảng cáo
Advice	Lời khuyên
After	Sau
Again	Lại
Against	Chống lại
Age	Tuổi
Agency	Cơ quan
Agent	Đại lý
Agree	Đồng ý
Agreement	Thỏa thuận
Ahead	Phía trước
Air	Không khí
All	Tất cả
Allow	Cho phép
Almost	Gần như
Alone	Một mình
Along	Dọc theo
Already	Đã
Also	Cũng
Although	Mặc dù
Always	Luôn luôn
American	Người Mỹ
Among	Giữa
Amount	Số lượng
Analysis	Phân tích
And	Và
Animal	Động vật
Another	Một cái khác
Answer	Trả lời
Any	Bất kỳ
Apartment	Căn hộ
Appear	Xuất hiện
Application	Ứng dụng
Apply	Áp dụng
Area	Khu vực
Argue	Tranh luận
Arm	Cánh tay
Around	Xung quanh
Arrive	Đến nơi
Art	Nghệ thuật
Article	Bài viết
Artist	Nghệ sĩ
As	Như
Ask	Hỏi
Assessment	Đánh giá
Asset	Tài sản
Associate	Liên kết
Association	Hiệp hội
Assume	Giả định
Athlete	Vận động viên
Attack	Tấn công
Attempt	Cố gắng
Attend	Tham dự
Attention	Sự chú ý
Attorney	Luật sư
Attract	Thu hút
Auction	Đấu giá
Audience	Khán giả
Author	Tác giả
Authority	Quyền lực
Automatic	Tự động
Available	Có sẵn
Average	Trung bình
Avoid	Tránh
Award	Giải thưởng
Away	Xa
Baby	Em bé
Back	Phía sau
Bad	Xấu
Bag	Túi
Balance	Cân đối
Ball	Quả bóng
Bank	Ngân hàng
Bar	Quán bar
Base	Cơ sở
Be	Là
Beat	Đánh bại
Beautiful	Đẹp
Because	Bởi vì
Become	Trở thành
Bed	Giường
Before	Trước khi
Begin	Bắt đầu
Behavior	Hành vi
Behind	Phía sau
Believe	Tin
Benefit	Lợi ích
Best	Tốt nhất
Better	Tốt hơn
Between	Giữa
Beyond	Vượt ra ngoài
Big	Lớn
Bill	Hóa đơn
Biology	Sinh học
Bird	Con chim
Birth	Sự ra đời
Bit	Chút ít
Black	Đen
Block	Chặn
Blood	Máu
Blow	Đánh
Blue	Xanh da trời
Board	Ban quản lý
Boat	Thuyền
Body	Cơ thể
Book	Sách
Border	Biên giới
Both	Cả hai
Bottle	Chai
Box	Hộp
Boy	Bé trai
Brain	Não
Branch	Nhánh
Break	Phá vỡ
Bridge	Cây cầu
Brief	Ngắn gọn
Bright	Sáng
Bring	Mang
Brother	Anh em trai
Brown	Nâu
Budget	Ngân sách
Build	Xây dựng
Building	Toà nhà
Business	Kinh doanh
Buy	Mua
By	Bằng
Cabinet	Tủ
Call	Gọi điện
Camera	Máy ảnh
Campaign	Chiến dịch
Can	Có thể
Candidate	Ứng cử viên
Capital	Thủ đô
Car	Xe hơi
Card	Thẻ
Care	Quan tâm
Career	Sự nghiệp
Carry	Mang
Case	Trường hợp
Cash	Tiền mặt
Cat	Con mèo
Category	Thể loại
Cause	Nguyên nhân
Cell	Tế bào
Center	Trung tâm
Central	Trung tâm
Century	Thế kỷ
Certain	Chắc chắn
Chair	Ghế
Challenge	Thách thức
Chance	Cơ hội
Change	Thay đổi
Character	Nhân vật
Charge	Phí
Check	Kiểm tra
Chemical	Hóa học
Child	Đứa trẻ
Choice	Lựa chọn
Choose	Chọn
Church	Nhà thờ
City	Thành phố
Civil	Dân sự
Claim	Tuyên bố
Class	Lớp học
Clean	Sạch sẽ
Clear	Rõ ràng
Client	Khách hàng
Climate	Khí hậu
Clock	Đồng hồ
Close	Đóng
Clothing	Quần áo
Club	Câu lạc bộ
Coach	HLV
Coal	Than đá
Code	Mã
Coffee	Cà phê
Cold	Lạnh
College	Trường đại học
Color	Màu sắc
Combine	Kết hợp
Come	Đến
Comfort	Sự thoải mái
Comment	Bình luận
Commercial	Quảng cáo
Commission	Ủy ban
Commit	Cam kết
Communication	Giao tiếp
Company	Công ty
